"pa","lon","lat"
"0",-37.7541666660673,-10.7041666669907
"0",-39.0374999994881,-10.7125000003237
"0",-38.6041666661252,-10.7208333336566
"0",-38.3874999994438,-10.7208333336566
"0",-38.370833332776,-10.7291666669896
"0",-38.5541666661218,-10.7375000003226
"0",-38.3458333327743,-10.7375000003226
"0",-38.0124999994182,-10.7375000003226
"0",-39.1541666661627,-10.7458333336555
"0",-38.962499999483,-10.7458333336555
"0",-38.5874999994574,-10.7458333336555
"0",-38.0374999994199,-10.7541666669885
"0",-39.5041666661865,-10.7625000003215
"0",-39.6208333328612,-10.7708333336544
"0",-38.787499999471,-10.7708333336544
"0",-38.6291666661269,-10.7708333336544
"0",-39.1041666661593,-10.7791666669874
"0",-38.704166666132,-10.7791666669874
"0",-37.8708333327419,-10.7791666669874
"0",-39.7791666662053,-10.7875000003204
"0",-39.1374999994949,-10.7875000003204
"0",-38.287499999437,-10.7875000003204
"0",-37.9041666660775,-10.7958333336533
"0",-39.9458333328833,-10.8041666669863
"0",-39.1041666661593,-10.8041666669863
"0",-38.7208333327998,-10.8041666669863
"0",-37.9624999994148,-10.8041666669863
"0",-39.637499999529,-10.8125000003193
"0",-38.787499999471,-10.8125000003193
"0",-38.7208333327998,-10.8125000003193
"0",-38.5874999994574,-10.8125000003193
"0",-39.3958333328458,-10.8208333336522
"0",-38.9791666661508,-10.8208333336522
"0",-38.6374999994608,-10.8208333336522
"0",-38.1958333327641,-10.8208333336522
"0",-39.2291666661678,-10.8291666669852
"0",-39.1374999994949,-10.8291666669852
"0",-39.0874999994915,-10.8291666669852
"0",-38.370833332776,-10.8291666669852
"0",-40.1458333328969,-10.8375000003182
"0",-39.7958333328731,-10.8375000003182
"0",-39.4541666661831,-10.8375000003182
"0",-39.4374999995153,-10.8375000003182
"0",-38.5541666661218,-10.8375000003182
"0",-40.2291666662359,-10.8458333336512
"0",-39.8458333328765,-10.8458333336512
"0",-38.7541666661354,-10.8458333336512
"0",-38.4291666661133,-10.8458333336512
"0",-39.8458333328765,-10.8541666669841
"0",-39.7041666662002,-10.8541666669841
"0",-40.2041666662342,-10.8625000003171
"0",-38.879166666144,-10.8625000003171
"0",-38.204166666098,-10.8625000003171
"0",-39.9208333328816,-10.8708333336501
"0",-39.0208333328203,-10.8708333336501
"0",-38.7958333328049,-10.8708333336501
"0",-38.1374999994267,-10.8708333336501
"0",-40.4458333329174,-10.879166666983
"0",-40.3041666662411,-10.879166666983
"0",-39.970833332885,-10.879166666983
"0",-39.7624999995375,-10.879166666983
"0",-38.2208333327658,-10.879166666983
"0",-40.5291666662564,-10.887500000316
"0",-37.9291666660792,-10.887500000316
"0",-40.6624999995988,-10.895833333649
"0",-40.2958333329072,-10.895833333649
"0",-40.2374999995698,-10.895833333649
"0",-40.9458333329515,-10.9041666669819
"0",-40.4208333329157,-10.9125000003149
"0",-40.2541666662377,-10.9125000003149
"0",-39.7541666662036,-10.9125000003149
"0",-38.4291666661133,-10.9125000003149
"0",-39.8624999995443,-10.9208333336479
"0",-38.8874999994779,-10.9208333336479
"0",-40.6541666662649,-10.9291666669808
"0",-38.3791666661099,-10.9291666669808
"0",-40.6291666662632,-10.9375000003138
"0",-40.479166666253,-10.9375000003138
"0",-40.3708333329123,-10.9375000003138
"0",-39.9958333328867,-10.9375000003138
"0",-39.1124999994932,-10.9375000003138
"0",-38.5791666661235,-10.9375000003138
"0",-40.8208333329429,-10.9458333336468
"0",-40.7541666662717,-10.9458333336468
"0",-39.7791666662053,-10.9458333336468
"0",-40.7124999996022,-10.9541666669797
"0",-40.4291666662496,-10.9541666669797
"0",-40.1041666662274,-10.9541666669797
"0",-39.6958333328663,-10.9541666669797
"0",-38.3458333327743,-10.9541666669797
"0",-37.9374999994131,-10.9541666669797
"0",-40.9291666662836,-10.9625000003127
"0",-40.5208333329225,-10.9625000003127
"0",-40.5041666662547,-10.9625000003127
"0",-39.887499999546,-10.9625000003127
"0",-39.2874999995051,-10.9625000003127
"0",-40.7124999996022,-10.9708333336457
"0",-40.5208333329225,-10.9708333336457
"0",-39.8374999995426,-10.9708333336457
"0",-39.4291666661814,-10.9708333336457
"0",-39.3041666661729,-10.9708333336457
"0",-38.1708333327623,-10.9708333336457
"0",-40.7958333329412,-10.9791666669786
"0",-38.7708333328032,-10.9791666669786
"0",-38.6624999994625,-10.9791666669786
"0",-39.9791666662189,-10.9875000003116
"0",-38.6874999994642,-10.9875000003116
"0",-40.7208333329361,-10.9958333336446
"0",-38.5208333327862,-10.9958333336446
"0",-37.9708333327487,-10.9958333336446
"0",-40.8208333329429,-11.0041666669775
"0",-40.6958333329344,-11.0041666669775
"0",-39.6041666661934,-11.0041666669775
"0",-39.6708333328646,-11.0125000003105
"0",-38.5208333327862,-11.0125000003105
"0",-40.7958333329412,-11.0208333336435
"0",-40.7124999996022,-11.0208333336435
"0",-40.2874999995733,-11.0208333336435
"0",-40.2291666662359,-11.0208333336435
"0",-39.6791666661985,-11.0208333336435
"0",-38.6874999994642,-11.0208333336435
"0",-40.7208333329361,-11.0291666669765
"0",-39.5541666661899,-11.0291666669765
"0",-39.1791666661644,-11.0291666669765
"0",-40.5874999995937,-11.0375000003094
"0",-39.5958333328595,-11.0375000003094
"0",-39.4458333328492,-11.0375000003094
"0",-37.9791666660826,-11.0375000003094
"0",-40.7458333329378,-11.0458333336424
"0",-39.0291666661542,-11.0458333336424
"0",-38.8124999994727,-11.0458333336424
"0",-40.5208333329225,-11.0541666669754
"0",-40.0958333328935,-11.0541666669754
"0",-38.9874999994847,-11.0541666669754
"0",-40.6958333329344,-11.0625000003083
"0",-40.3374999995767,-11.0625000003083
"0",-38.7624999994693,-11.0625000003083
"0",-39.7708333328714,-11.0708333336413
"0",-39.4874999995187,-11.0708333336413
"0",-39.1541666661627,-11.0708333336413
"0",-38.7124999994659,-11.0708333336413
"0",-38.4041666661116,-11.0708333336413
"0",-40.7708333329395,-11.0791666669743
"0",-39.545833332856,-11.0791666669743
"0",-38.8208333328066,-11.0791666669743
"0",-38.3958333327777,-11.0791666669743
"0",-40.1624999995647,-11.0875000003072
"0",-40.0958333328935,-11.0875000003072
"0",-39.7708333328714,-11.0875000003072
"0",-39.5374999995221,-11.0875000003072
"0",-39.0291666661542,-11.0875000003072
"0",-38.6541666661286,-11.0875000003072
"0",-38.4208333327794,-11.0875000003072
"0",-38.2124999994319,-11.0875000003072
"0",-40.4541666662513,-11.0958333336402
"0",-40.3374999995767,-11.0958333336402
"0",-39.5208333328543,-11.0958333336402
"0",-38.3374999994404,-11.0958333336402
"0",-38.3208333327726,-11.0958333336402
"0",-38.1458333327606,-11.0958333336402
"0",-40.6041666662615,-11.1041666669732
"0",-39.6624999995307,-11.1041666669732
"0",-39.1041666661593,-11.1041666669732
"0",-38.5791666661235,-11.1041666669732
"0",-38.4291666661133,-11.1041666669732
"0",-40.1124999995613,-11.1125000003061
"0",-39.6041666661934,-11.1125000003061
"0",-38.7374999994676,-11.1125000003061
"0",-38.4708333327828,-11.1125000003061
"0",-38.3791666661099,-11.1125000003061
"0",-40.645833332931,-11.1208333336391
"0",-39.8124999995409,-11.1208333336391
"0",-38.9708333328169,-11.1208333336391
"0",-38.6791666661303,-11.1208333336391
"0",-40.479166666253,-11.1291666669721
"0",-40.0458333328901,-11.1291666669721
"0",-39.545833332856,-11.1291666669721
"0",-39.4958333328526,-11.1291666669721
"0",-38.5624999994557,-11.1291666669721
"0",-38.0374999994199,-11.1291666669721
"0",-38.620833332793,-11.137500000305
"0",-39.9958333328867,-11.145833333638
"0",-38.0708333327555,-11.145833333638
"0",-38.0124999994182,-11.145833333638
"0",-40.2374999995698,-11.154166666971
"0",-39.8958333328799,-11.154166666971
"0",-39.5374999995221,-11.154166666971
"0",-38.5708333327896,-11.154166666971
"0",-40.5874999995937,-11.1625000003039
"0",-38.4874999994506,-11.1625000003039
"0",-40.6708333329327,-11.1708333336369
"0",-40.0208333328884,-11.1708333336369
"0",-38.4791666661167,-11.1708333336369
"0",-38.0791666660894,-11.1708333336369
"0",-40.812499999609,-11.1791666669699
"0",-39.6624999995307,-11.1791666669699
"0",-38.6374999994608,-11.1791666669699
"0",-39.9791666662189,-11.1875000003028
"0",-39.4958333328526,-11.1875000003028
"0",-39.3124999995068,-11.1875000003028
"0",-38.9541666661491,-11.1875000003028
"0",-40.5958333329276,-11.1958333336358
"0",-40.5458333329242,-11.1958333336358
"0",-39.5624999995239,-11.1958333336358
"0",-39.4708333328509,-11.1958333336358
"0",-39.6708333328646,-11.2041666669688
"0",-38.5041666661184,-11.2041666669688
"0",-39.8708333328782,-11.2125000003018
"0",-39.0041666661525,-11.2125000003018
"0",-38.7291666661337,-11.2125000003018
"0",-38.704166666132,-11.2125000003018
"0",-39.6208333328612,-11.2208333336347
"0",-39.5958333328595,-11.2208333336347
"0",-39.0541666661559,-11.2208333336347
"0",-39.0374999994881,-11.2208333336347
"0",-40.7708333329395,-11.2291666669677
"0",-40.6624999995988,-11.2291666669677
"0",-40.0291666662223,-11.2291666669677
"0",-38.9124999994796,-11.2291666669677
"0",-40.3291666662428,-11.2375000003007
"0",-40.2624999995716,-11.2375000003007
"0",-39.8208333328748,-11.2375000003007
"0",-39.5624999995239,-11.2375000003007
"0",-40.3874999995801,-11.2458333336336
"0",-39.3541666661763,-11.2458333336336
"0",-38.9041666661457,-11.2458333336336
"0",-38.6624999994625,-11.2458333336336
"0",-40.4708333329191,-11.2541666669666
"0",-38.8624999994761,-11.2541666669666
"0",-40.645833332931,-11.2625000002996
"0",-39.9208333328816,-11.2625000002996
"0",-39.4541666661831,-11.2625000002996
"0",-39.2124999995,-11.2625000002996
"0",-40.5124999995886,-11.2708333336325
"0",-39.5374999995221,-11.2708333336325
"0",-38.787499999471,-11.2708333336325
"0",-39.2458333328356,-11.2791666669655
"0",-38.6791666661303,-11.2791666669655
"0",-38.6708333327964,-11.2791666669655
"0",-39.2624999995034,-11.2875000002985
"0",-38.4624999994489,-11.2875000002985
"0",-39.4291666661814,-11.2958333336314
"0",-38.1208333327589,-11.2958333336314
"0",-39.2541666661695,-11.3041666669644
"0",-39.0124999994864,-11.3041666669644
"0",-38.2541666661014,-11.3041666669644
"0",-40.7708333329395,-11.3125000002974
"0",-38.2208333327658,-11.3125000002974
"0",-40.6874999996005,-11.3208333336303
"0",-40.6041666662615,-11.3208333336303
