"species","year","base","longitude","latitude","state"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.46741887","-14.8004503","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.33401491","-15.43376202","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.01739789","-14.10043728","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.31740408","-14.30044035","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.33401715","-15.6837637","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.65072344","-15.46715981","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.73402408","-14.13374006","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.86743241","-14.26713806","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.0507003","-15.18375256","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.28400647","-14.60044621","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.65071733","-14.70044694","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.06740179","-15.18375722","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.71741745","-13.58373266","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.0507003","-15.18375256","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.0604892","-15.16673477","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.15625479","-13.80904407","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.28610626","-15.56861754","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.09342625","-15.31934549","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.06185921","-15.17224948","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-37.23333333","-11.2","Sergipe"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-38.4575","-12.87972222","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.25","-15.11666667","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-37.55","-11.3","Sergipe"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.0425","-15.18888889","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.04","-13.65","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-38.94722222","-15.675","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-38.99666667","-14.2775","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.03399669","-14.81715098","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.03399669","-14.81715098","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.03399669","-14.81715098","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.28027778","-14.78555556","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.05861111","-15.17111111","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.03666667","-15.18","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.23401543","-17.33379005","Bahia"
