"species","year","base","longitude","latitude","state"
"Bradypus crinitus",2016,"gbif","-40.759464","-20.101037","Espírito Santo"
"Bradypus crinitus",2016,"gbif","-41.128372","-21.333605","Rio de Janeiro"
"Bradypus crinitus",2015,"gbif","-40.206942","-19.932631","Espírito Santo"
"Bradypus crinitus",2022,"inat","-42.1064568725","-22.7738033949","Rio de Janeiro"
"Bradypus crinitus",NA,"inat","-41.1727822904","-20.4901728356","Espírito Santo"
"Bradypus crinitus",2022,"inat","-40.5431586296","-19.8074941574","Espírito Santo"
"Bradypus crinitus",2023,"inat","-40.5658431998","-19.883381761","Espírito Santo"
"Bradypus crinitus",2023,"inat","-40.9960982357","-20.2299276051","Espírito Santo"
"Bradypus crinitus",2023,"inat","-41.1459586312","-20.5624106609","Espírito Santo"
"Bradypus crinitus",2023,"inat","-40.3074438304","-20.2671395963","Espírito Santo"
"Bradypus crinitus",2023,"inat","-41.1485866409","-20.2042687558","Espírito Santo"
"Bradypus crinitus",2023,"inat","-40.4161026459","-19.8531582454","Espírito Santo"
"Bradypus crinitus",2023,"inat","-41.0957775601","-20.5302632735","Espírito Santo"
"Bradypus crinitus",2023,"inat","-41.1067961327","-20.3583461708","Espírito Santo"
"Bradypus crinitus",2022,"inat","-41.0472947902","-20.4334561087","Espírito Santo"
"Bradypus crinitus",2016,"inat","-41.1283719242","-21.3336051813","Rio de Janeiro"
"Bradypus crinitus",2017,"inat","-42.1858790156","-22.5845938999","Rio de Janeiro"
"Bradypus crinitus",2023,"inat","-42.3390893404","-22.5684332938","Rio de Janeiro"
"Bradypus crinitus",2023,"inat","-40.7942994698","-19.9739884392","Espírito Santo"
"Bradypus crinitus",2023,"inat","-40.4060316699","-19.819663642","Espírito Santo"
"Bradypus crinitus",2020,"inat","-42.0131007284","-22.5885255754","Rio de Janeiro"
"Bradypus crinitus",2019,"inat","-41.1973986097","-21.789915754","Rio de Janeiro"
"Bradypus crinitus",2007,"inat","-42.0694929582","-22.5478219882","Rio de Janeiro"
"Bradypus crinitus",2007,"inat","-42.0311959339","-22.5263928491","Rio de Janeiro"
"Bradypus crinitus",2022,"inat","-41.0567699339","-21.7603188535","Rio de Janeiro"
"Bradypus crinitus",2022,"inat","-41.0209227843","-21.6619318959","Rio de Janeiro"
"Bradypus crinitus",2022,"inat","-40.3653985653","-20.3567712694","Espírito Santo"
"Bradypus crinitus",2021,"inat","-42.1806904981","-22.4856712675","Rio de Janeiro"
"Bradypus crinitus",2021,"inat","-42.1038839288","-22.5509751897","Rio de Janeiro"
"Bradypus crinitus",2020,"inat","-42.0143207212","-22.4079921594","Rio de Janeiro"
"Bradypus crinitus",2020,"inat","-42.0992794471","-22.5093170275","Rio de Janeiro"
"Bradypus crinitus",2022,"inat","-40.3456455407","-20.3977964961","Espírito Santo"
"Bradypus crinitus",2022,"inat","-40.7451776856","-19.8788687287","Espírito Santo"
"Bradypus crinitus",2022,"inat","-40.5359772952","-19.9815347876","Espírito Santo"
"Bradypus crinitus",2021,"inat","-41.1987274883","-20.1965824688","Espírito Santo"
"Bradypus crinitus",2017,"inat","-41.1209853786","-20.1103497626","Espírito Santo"
"Bradypus crinitus",2022,"inat","-40.4042069051","-19.9099941597","Espírito Santo"
"Bradypus crinitus",2019,"inat","-40.8486041166","-20.4560620509","Espírito Santo"
"Bradypus crinitus",2021,"inat","-40.6951681363","-20.2087919257","Espírito Santo"
"Bradypus crinitus",2017,"inat","-41.0764120859","-20.7333507875","Espírito Santo"
"Bradypus crinitus",2017,"inat","-40.6920164211","-20.2693837887","Espírito Santo"
"Bradypus crinitus",2016,"inat","-40.6371995367","-20.3472006091","Espírito Santo"
"Bradypus crinitus",2016,"inat","-41.0715566568","-20.1916841703","Espírito Santo"
"Bradypus crinitus",2017,"inat","-40.9991856247","-20.4340520651","Espírito Santo"
"Bradypus crinitus",2019,"inat","-41.1654226749","-21.7562797663","Rio de Janeiro"
"Bradypus crinitus",2020,"inat","-41.181942639","-21.6464951438","Rio de Janeiro"
"Bradypus crinitus",2021,"inat","-40.3478173653","-20.3896354159","Espírito Santo"
"Bradypus crinitus",2021,"inat","-42.1544865802","-22.6679775066","Rio de Janeiro"
"Bradypus crinitus",2021,"inat","-40.2703691051","-20.2498393599","Espírito Santo"
"Bradypus crinitus",2021,"inat","-42.3467958248","-22.4952945281","Rio de Janeiro"
"Bradypus crinitus",2015,"inat","-40.2069416654","-19.9326309962","Espírito Santo"
"Bradypus crinitus",2021,"inat","-43.397582552","-22.9699636249","Rio de Janeiro"
"Bradypus crinitus",2020,"inat","-41.2101880516","-20.3037790679","Espírito Santo"
"Bradypus crinitus",2016,"inat","-40.7594644823","-20.1010367437","Espírito Santo"
"Bradypus crinitus",2020,"inat","-40.2420306565","-20.2872008938","Espírito Santo"
"Bradypus crinitus",2017,"inat","-41.0811243436","-20.1455962946","Espírito Santo"
"Bradypus crinitus",2016,"inat","-41.1157639918","-20.1295146548","Espírito Santo"
"Bradypus crinitus",2016,"inat","-40.9773894078","-20.1495047374","Espírito Santo"
