"","X_wc2.1_30s_bio_1","X_wc2.1_30s_bio_10","X_wc2.1_30s_bio_11","X_wc2.1_30s_bio_12","X_wc2.1_30s_bio_13","X_wc2.1_30s_bio_14","X_wc2.1_30s_bio_15","X_wc2.1_30s_bio_16","X_wc2.1_30s_bio_17","X_wc2.1_30s_bio_18","X_wc2.1_30s_bio_19","X_wc2.1_30s_bio_2","X_wc2.1_30s_bio_3","X_wc2.1_30s_bio_4","X_wc2.1_30s_bio_5","X_wc2.1_30s_bio_6","X_wc2.1_30s_bio_7","X_wc2.1_30s_bio_8","X_wc2.1_30s_bio_9"
"X_wc2.1_30s_bio_1",1,0.891700575209287,0.968283014881104,0.420375401385746,0.592406888063799,-0.209990276526286,0.325380562811297,0.588452545353271,-0.180837725329083,-0.496321000196094,0.321239632444273,-0.329897608027592,0.739754129890261,-0.776495920688166,0.717281292751759,0.921986698978838,-0.690032599322925,0.864099656863761,0.934842587634952
"X_wc2.1_30s_bio_10",0.891700575209287,1,0.782318945630424,0.241906522703037,0.337918904143901,-0.0780910457574723,0.126052030725397,0.331631133095247,-0.05594926430486,-0.454167559513074,0.295200377830019,-0.284092595987439,0.477030567866431,-0.478915024713617,0.790405154446685,0.757526858719206,-0.458873060767728,0.924438518213904,0.759770902237821
"X_wc2.1_30s_bio_11",0.968283014881104,0.782318945630424,1,0.513522660084869,0.690066331281128,-0.221957205514363,0.358814168614091,0.688711973727425,-0.186172891773831,-0.522105171444597,0.369035413835622,-0.366365624991146,0.824259676546755,-0.892130473099704,0.639496155805884,0.950743199386805,-0.767822800619322,0.753531645646066,0.963949266881703
"X_wc2.1_30s_bio_12",0.420375401385746,0.241906522703037,0.513522660084869,1,0.845250588977643,0.353472748548361,-0.205817830369967,0.869469162106894,0.412082625427802,0.0633648679567345,0.623171358276642,-0.362217345926265,0.406286044405935,-0.598243606247828,0.142749140415487,0.470548877890883,-0.421909060702554,0.233025911527587,0.511717710834983
"X_wc2.1_30s_bio_13",0.592406888063799,0.337918904143901,0.690066331281128,0.845250588977643,1,-0.0177188128826074,0.251010231719267,0.986347698134895,0.022612577227775,-0.0685546076023541,0.41324564255209,-0.273777415772925,0.636805575219099,-0.753140281842653,0.242362883502645,0.622884543413021,-0.568194985119306,0.358688795971615,0.655951571242969
"X_wc2.1_30s_bio_14",-0.209990276526286,-0.0780910457574723,-0.221957205514363,0.353472748548361,-0.0177188128826074,1,-0.8909550378833,-0.0285914906446,0.987874708268119,0.14256053795437,0.649298707824061,-0.522728288634432,-0.226390060897147,0.261176097090174,-0.411842619986828,-0.0886466756481337,-0.022199658970001,-0.141848568559534,-0.134077234061908
"X_wc2.1_30s_bio_15",0.325380562811297,0.126052030725397,0.358814168614091,-0.205817830369967,0.251010231719267,-0.8909550378833,1,0.231278535404237,-0.909845082967854,-0.197233050160505,-0.526329260738379,0.333632648306006,0.441930490070558,-0.379445586268985,0.296393019817952,0.249524489374182,-0.19990598819006,0.178460836305611,0.280495261213175
"X_wc2.1_30s_bio_16",0.588452545353271,0.331631133095247,0.688711973727425,0.869469162106894,0.986347698134895,-0.0285914906446,0.231278535404237,1,0.0184837051079179,-0.0396311364051742,0.416083239817748,-0.252487622110155,0.611787550010249,-0.76465093020636,0.268465551869722,0.610385144329786,-0.544524924638815,0.357653389340793,0.648484389348429
"X_wc2.1_30s_bio_17",-0.180837725329083,-0.05594926430486,-0.186172891773831,0.412082625427802,0.022612577227775,0.987874708268119,-0.909845082967854,0.0184837051079179,1,0.144919857403894,0.681648738336452,-0.508157299405368,-0.208320633261294,0.212734922884156,-0.361413966100139,-0.064254268160251,-0.0237532450521794,-0.11806048513923,-0.100691488946231
"X_wc2.1_30s_bio_18",-0.496321000196094,-0.454167559513074,-0.522105171444597,0.0633648679567345,-0.0685546076023541,0.14256053795437,-0.197233050160505,-0.0396311364051742,0.144919857403894,1,-0.297386805052604,0.400983669909428,-0.526838719723023,0.44422307324753,-0.357594308177524,-0.606241635226646,0.531032408401123,-0.293181405514756,-0.595744388485954
